Company,System,AutoParallel,EnabledCores,EnabledChips,CoresPerChip,ThreadsPerCore,Base,Peak,CPU
Dell Inc.,"PowerEdge R730xd (Intel Xeon E5-2609 v4, 1.70 GHz)",Yes,16,2,8,1,75.0,77.1,Intel Xeon E5-2609 v4
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2637 v4, 3.50 GHz)",Yes,8,2,4,1,110.0,114,Intel Xeon E5-2637 v4
Dell Inc.,"PowerEdge R730xd (Intel Xeon E5-2637 v4, 3.50 GHz)",Yes,8,2,4,1,110.0,114,Intel Xeon E5-2637 v4
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2683 v4, 2.10 GHz)",Yes,32,2,16,1,110.0,116,Intel Xeon E5-2683 v4
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2695 v4, 2.10 GHz)",Yes,36,2,18,1,111.0,117,Intel Xeon E5-2695 v4
Dell Inc.,"PowerEdge R730xd (Intel Xeon E5-2650 v4, 2.20 GHz)",Yes,24,2,12,1,108.0,112,Intel Xeon E5-2650 v4
Dell Inc.,"PowerEdge R730xd (Intel Xeon E5-2683 v4, 2.10 GHz)",Yes,32,2,16,1,110.0,116,Intel Xeon E5-2683 v4
Dell Inc.,"PowerEdge R730xd (Intel Xeon E5-2695 v4, 2.10 GHz)",Yes,36,2,18,1,111.0,117,Intel Xeon E5-2695 v4
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2650 v4, 2.20 GHz)",Yes,24,2,12,1,108.0,112,Intel Xeon E5-2650 v4
Fujitsu,"PRIMERGY RX2540 M2, (Intel Xeon E5-2667 v4, 3.20 GHz)",Yes,16,2,8,2,124.0,128,Intel Xeon E5-2667 v4
Fujitsu,"PRIMERGY RX4770 M3, (Intel Xeon E7-8891 v4, 2.80 GHz)",Yes,40,4,10,1,132.0,138,Intel Xeon E7-8891 v4
Fujitsu,"PRIMERGY RX1330 M3, (Intel Xeon E3-1280 v6, 3.9GHz)",Yes,4,1,4,1,104.0,106,Intel Xeon E3-1280 v6
Fujitsu,"PRIMERGY TX1320 M3, (Intel Xeon E3-1280 v6, 3.9GHz)",Yes,4,1,4,1,105.0,106,Intel Xeon E3-1280 v6
Fujitsu,"PRIMERGY TX1330 M3, (Intel Xeon E3-1280 v6, 3.9GHz)",Yes,4,1,4,1,105.0,106,Intel Xeon E3-1280 v6
Huawei,Huawei XH321 V3 (Intel Xeon E5-2637 v4),Yes,8,2,4,1,107.0,110,Intel Xeon E5-2637 v4
Huawei,Huawei XH321 V3 (Intel Xeon E5-2643 v4),Yes,12,2,6,1,114.0,118,Intel Xeon E5-2643 v4
Huawei,Huawei XH321 V3 (Intel Xeon E5-2650L v4),Yes,28,2,14,1,86.8,91.7,Intel Xeon E5-2650L v4
Lenovo Group Limited,"Lenovo NeXtScale nx360 M5 (2.20 GHz, Intel Xeon E5-2630 v4)",Yes,20,2,10,1,106.0,113,Intel Xeon E5-2630 v4
Lenovo Group Limited,"Lenovo System x3650 M5 (2.10 GHz, Intel Xeon E5-2683 v4)",Yes,32,2,16,1,110.0,116,Intel Xeon E5-2683 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.20 GHz, Intel Xeon E5-2698 v4)",Yes,40,2,20,1,119.0,126,Intel Xeon E5-2698 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.20 GHz, Intel Xeon E5-2630 v4)",Yes,20,2,10,1,109.0,115,Intel Xeon E5-2630 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.40 GHz, Intel Xeon E5-2640 v4)",Yes,20,2,10,1,114.0,119,Intel Xeon E5-2640 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.60 GHz, Intel Xeon E5-2623 v4)",Yes,8,2,4,1,95.1,98.4,Intel Xeon E5-2623 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (1.70 GHz, Intel Xeon E5-2609 v4)",Yes,16,2,8,1,75.4,77.3,Intel Xeon E5-2609 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (1.70 GHz, Intel Xeon E5-2603 v4)",Yes,12,2,6,1,70.3,71.8,Intel Xeon E5-2603 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.60 GHz, Intel Xeon E5-2690 v4)",Yes,28,2,14,1,120.0,125,Intel Xeon E5-2690 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.40 GHz, Intel Xeon E5-2680 v4)",Yes,28,2,14,1,117.0,122,Intel Xeon E5-2680 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.00 GHz, Intel Xeon E5-2660 v4)",Yes,28,2,14,1,111.0,117,Intel Xeon E5-2660 v4
