Company,System,BaseCopies,EnabledCores,EnabledChips,CoresPerChip,ThreadsPerCore,Base,Peak,CPU
Fujitsu,"PRIMERGY RX2540 M2, (Intel Xeon E5-2667 v4, 3.20 GHz)",32,16,2,8,2,899.0,944,Intel Xeon E5-2667 v4
Fujitsu,"PRIMERGY RX1330 M3, (Intel Xeon E3-1280 v6, 3.9GHz)",8,4,1,4,2,271.0,280,Intel Xeon E3-1280 v6
Fujitsu,"PRIMERGY TX1320 M3, (Intel Xeon E3-1280 v6, 3.9GHz)",8,4,1,4,2,270.0,281,Intel Xeon E3-1280 v6
Fujitsu,"PRIMERGY TX1330 M3, (Intel Xeon E3-1280 v6, 3.9GHz)",8,4,1,4,2,270.0,281,Intel Xeon E3-1280 v6
HPE,"ProLiant DL360 Gen9 (2.00 GHz, Intel Xeon E5-2660 v4)",56,28,2,14,2,1120.0,1170,Intel Xeon E5-2660 v4
HPE,"ProLiant DL380 Gen9 (2.40 GHz, Intel Xeon E5-2680 v4)",56,28,2,14,2,1270.0,1320,Intel Xeon E5-2680 v4
HPE,"ProLiant BL660c Gen9 (2.10 GHz, Intel Xeon E5-4620 v4)",80,40,4,10,2,1560.0,1630,Intel Xeon E5-4620 v4
HPE,ProLiant BL660c Gen9 (2.10GHz Intel Xeon E5-4640 v4),96,48,4,12,2,1860.0,1950,Intel Xeon E5-4640 v4
HPE,ProLiant DL580 Gen 9 (2.20GHz Intel Xeon E7-8880 v4),176,88,4,22,2,3300.0,3420,Intel Xeon E7-8880 v4
HPE,"ProLiant XL170r Gen9 (2.10 GHz, Intel Xeon E5-2695 v4)",72,36,2,18,2,1410.0,1460,Intel Xeon E5-2695 v4
HPE,"ProLiant ML350 Gen9 (2.00 GHz, Intel Xeon E5-2660 v4)",56,28,2,14,2,1120.0,1170,Intel Xeon E5-2660 v4
HPE,"ProLiant BL460 Gen9 (2.40 GHz, Intel Xeon E5-2640 v4)",40,20,2,10,2,860.0,898,Intel Xeon E5-2640 v4
Huawei,Huawei CH121 V3 (Intel Xeon E5-2690 v4),56,28,2,14,2,1340.0,1410,Intel Xeon E5-2690 v4
Huawei,Huawei CH222 V3 (Intel Xeon E5-2690 v4),56,28,2,14,2,1340.0,1410,Intel Xeon E5-2690 v4
Huawei,Huawei RH1288 V3 (Intel Xeon E5-2690 v4),56,28,2,14,2,1350.0,1410,Intel Xeon E5-2690 v4
Huawei,Huawei XH321 V3 (Intel Xeon E5-2690 v4),56,28,2,14,2,1340.0,1400,Intel Xeon E5-2690 v4
Huawei,Huawei RH1288 V3 (Intel Xeon E5-2660 v4),56,28,2,14,2,1120.0,1170,Intel Xeon E5-2660 v4
Huawei,Huawei XH620 V3 (Intel Xeon E5-2660 v4),56,28,2,14,2,1120.0,1170,Intel Xeon E5-2660 v4
Huawei,Huawei 5288 V3 (Intel Xeon E5-2660 v4),56,28,2,14,2,1120.0,1170,Intel Xeon E5-2660 v4
Huawei,Huawei RH2288 V3 (Intel Xeon E5-2660 v4),56,28,2,14,2,1120.0,1170,Intel Xeon E5-2660 v4
Huawei,Huawei XH628 V3 (Intel Xeon E5-2660 v4),56,28,2,14,2,1120.0,1170,Intel Xeon E5-2660 v4
Huawei,Huawei XH622 V3 (Intel Xeon E5-2660 v4),56,28,2,14,2,1120.0,1170,Intel Xeon E5-2660 v4
Huawei,Huawei RH5885 V3 (Intel Xeon E7-4809 v4),64,32,4,8,2,1090.0,1140,Intel Xeon E7-4809 v4
Huawei,Huawei RH5885 V3 (Intel Xeon E7-4830 v4),112,56,4,14,2,1750.0,1820,Intel Xeon E7-4830 v4
Huawei,Huawei RH5885 V3 (Intel Xeon E7-8855 v4),112,56,4,14,2,1860.0,1930,Intel Xeon E7-8855 v4
Huawei,Huawei RH5885 V3 (Intel Xeon E7-8860 v4),144,72,4,18,2,2440.0,2520,Intel Xeon E7-8860 v4
Huawei,Huawei RH5885 V3 (Intel Xeon E7-8870 v4),160,80,4,20,2,2580.0,2670,Intel Xeon E7-8870 v4
Huawei,Huawei RH5885 V3 (Intel Xeon E7-8880 v4),176,88,4,22,2,2720.0,2810,Intel Xeon E7-8880 v4
Huawei,Huawei RH5885 V3 (Intel Xeon E7-8890 v4),192,96,4,24,2,2840.0,2910,Intel Xeon E7-8890 v4
Huawei,Huawei RH5885 V3 (Intel Xeon E7-4820 v4),80,40,4,10,2,1260.0,1320,Intel Xeon E7-4820 v4
Huawei,Huawei RH5885H V3 (Intel Xeon E7-8870 v4),160,80,4,20,2,3070.0,3200,Intel Xeon E7-8870 v4
Huawei,Huawei RH5885H V3 (Intel Xeon E7-8880 v4),176,88,4,22,2,3320.0,3460,Intel Xeon E7-8880 v4
Huawei,Huawei RH5885H V3 (Intel Xeon E7-4809 v4),64,32,4,8,2,1100.0,1160,Intel Xeon E7-4809 v4
Huawei,Huawei RH5885H V3 (Intel Xeon E7-4820 v4),80,40,4,10,2,1320.0,1380,Intel Xeon E7-4820 v4
Huawei,Huawei RH5885H V3 (Intel Xeon E7-8890 v4),192,96,4,24,2,3610.0,3750,Intel Xeon E7-8890 v4
Huawei,Huawei RH8100 V3 (Intel Xeon E7-8860 v4),288,144,8,18,2,5580.0,5800,Intel Xeon E7-8860 v4
Huawei,Huawei RH8100 V3 (Intel Xeon E7-8867 v4),288,144,8,18,2,5690.0,5920,Intel Xeon E7-8867 v4
Huawei,Huawei RH8100 V3 (Intel Xeon E7-8870 v4),320,160,8,20,2,5960.0,6200,Intel Xeon E7-8870 v4
Huawei,Huawei RH8100 V3 (Intel Xeon E7-8880 v4),352,176,8,22,2,6380.0,6630,Intel Xeon E7-8880 v4
Huawei,Huawei XH321 V3 (Intel Xeon E5-2699 v3),72,36,2,18,2,1410.0,1460,Intel Xeon E5-2699 v3
Huawei,Huawei XH321 V3 (Intel Xeon E5-2660 v3),40,20,2,10,2,903.0,945,Intel Xeon E5-2660 v3
Huawei,Huawei CH222 V3 (Intel Xeon E5-2683 v4),64,32,2,16,2,1320.0,1380,Intel Xeon E5-2683 v4
Huawei,Huawei RH2288H V3 (Intel Xeon E5-2680 v4),56,28,2,14,2,1260.0,1310,Intel Xeon E5-2680 v4
Huawei,Huawei CH121 V3 (Intel Xeon E5-2680 v4),56,28,2,14,2,1260.0,1320,Intel Xeon E5-2680 v4
Huawei,Huawei CH222 V3 (Intel Xeon E5-2680 v4),56,28,2,14,2,1260.0,1320,Intel Xeon E5-2680 v4
Huawei,Huawei RH2288H V3 (Intel Xeon E5-2683 v4),64,32,2,16,2,1320.0,1380,Intel Xeon E5-2683 v4
Huawei,Huawei CH121 V3 (Intel Xeon E5-2683 v4),64,32,2,16,2,1320.0,1380,Intel Xeon E5-2683 v4
Huawei,Huawei XH321 V3 (Intel Xeon E5-2650 v4),48,24,2,12,2,1000.0,1050,Intel Xeon E5-2650 v4
Huawei,Huawei XH321 V3 (Intel Xeon E5-2690 v3),48,24,2,12,2,1100.0,1150,Intel Xeon E5-2690 v3
Huawei,Huawei XH321 V3 (Intel Xeon E5-2680 v4),56,28,2,14,2,1240.0,1300,Intel Xeon E5-2680 v4
Huawei,Huawei RH5885H V3 (Intel Xeon E7-8894 v4),192,96,4,24,2,3800.0,Not Run,Intel Xeon E7-8894 v4
Huawei,Huawei RH8100 V3 (Intel Xeon E7-8894 v4),384,192,8,24,2,7350.0,7650,Intel Xeon E7-8894 v4
Huawei,Kunlun 9008 (Intel Xeon E7-4809 v3),128,64,8,8,2,1970.0,2070,Intel Xeon E7-4809 v3
Huawei,Kunlun 9008 (Intel Xeon E7-4820 v3),160,80,8,10,2,2340.0,2450,Intel Xeon E7-4820 v3
Huawei,Kunlun 9008 (Intel Xeon E7-4830 v3),192,96,8,12,2,3380.0,3530,Intel Xeon E7-4830 v3
Huawei,Kunlun 9008 (Intel Xeon E7-4850 v3),224,112,8,14,2,3920.0,4090,Intel Xeon E7-4850 v3
Huawei,Kunlun 9008 (Intel Xeon E7-8867 v3),256,128,8,16,2,5010.0,5230,Intel Xeon E7-8867 v3
Huawei,Kunlun 9008 (Intel Xeon E7-8891 v3),160,80,8,10,2,3850.0,4050,Intel Xeon E7-8891 v3
Huawei,Kunlun 9008 (Intel Xeon E7-8860 v3),256,128,8,16,2,4780.0,4990,Intel Xeon E7-8860 v3
Huawei,Kunlun 9016 (Intel Xeon E7-8890 v4),768,384,16,24,2,13800.0,14300,Intel Xeon E7-8890 v4
Inspur Corporation,Inspur NF5180M4 (Intel Xeon E5-2650 v4),48,24,2,12,2,998.0,1040,Intel Xeon E5-2650 v4
Inspur Corporation,Inspur NF5280M4 (Intel Xeon E5-2650 v4),48,24,2,12,2,997.0,1040,Intel Xeon E5-2650 v4
Inspur Corporation,Inspur NP5570M4 (Intel Xeon E5-2620 v4),32,16,2,8,2,529.0,549,Intel Xeon E5-2620 v4
Inspur Corporation,Inspur NP5570M4 (Intel Xeon E5-2623 v4),16,8,2,4,2,293.0,303,Intel Xeon E5-2623 v4
Inspur Corporation,Inspur NP5570M4 (Intel Xeon E5-2620 v4),32,16,2,8,2,635.0,668,Intel Xeon E5-2620 v4
Inspur Corporation,Inspur NP5570M4 (Intel Xeon E5-2623 v4),16,8,2,4,2,379.0,398,Intel Xeon E5-2623 v4
Inspur Corporation,Inspur NF5180M4 (Intel Xeon E5-2623 v4),16,8,2,4,2,379.0,397,Intel Xeon E5-2623 v4
Inspur Corporation,Inspur NF5280M4 (Intel Xeon E5-2623 v4),16,8,2,4,2,379.0,398,Intel Xeon E5-2623 v4
Inspur Corporation,Inspur NF8460M4 (Intel Xeon E7-8890 v4),192,96,4,24,2,3510.0,3640,Intel Xeon E7-8890 v4
Inspur Corporation,Inspur NF8460M4 (Intel Xeon E7-8890 v4),192,96,4,24,2,3510.0,3630,Intel Xeon E7-8890 v4
Inspur Corporation,Inspur NF5166M4 (Intel Xeon E5-2683 v4),64,32,2,16,2,1310.0,1360,Intel Xeon E5-2683 v4
Inspur Corporation,Inspur NF5270M4 (Intel Xeon E5-2683 v4),64,32,2,16,2,1310.0,1360,Intel Xeon E5-2683 v4
Inspur Corporation,Inspur NF5460M4 (Intel Xeon E5-2683 v4),64,32,2,16,2,1310.0,1360,Intel Xeon E5-2683 v4
Inspur Corporation,Inspur NF5170M4 (Intel Xeon E5-2683 v4),64,32,2,16,2,1310.0,1360,Intel Xeon E5-2683 v4
Inspur Corporation,Inspur NF5270M4 (Intel Xeon E5-2680 v4),56,28,2,14,2,1260.0,1310,Intel Xeon E5-2680 v4
Inspur Corporation,Inspur NF5166M4 (Intel Xeon E5-2680 v4),56,28,2,14,2,1260.0,1310,Intel Xeon E5-2680 v4
Inspur Corporation,Inspur NF5170M4 (Intel Xeon E5-2680 v4),56,28,2,14,2,1260.0,1310,Intel Xeon E5-2680 v4
Inspur Corporation,Inspur NF5460M4 (Intel Xeon E5-2680 v4),56,28,2,14,2,1260.0,1310,Intel Xeon E5-2680 v4
Inspur Corporation,Inspur SA5212M4 (Intel Xeon E5-2683 v4),64,32,2,16,2,1310.0,1360,Intel Xeon E5-2683 v4
Inspur Corporation,Inspur SA5112M4 (Intel Xeon E5-2683 v4),64,32,2,16,2,1310.0,1360,Intel Xeon E5-2683 v4
Inspur Corporation,Inspur SA5112M4 (Intel Xeon E5-2680 v4),56,28,2,14,2,1260.0,1310,Intel Xeon E5-2680 v4
Inspur Corporation,Inspur SA5212M4 (Intel Xeon E5-2680 v4),56,28,2,14,2,1260.0,1310,Intel Xeon E5-2680 v4
Inspur Corporation,Inspur NX5480M4 (Intel Xeon E5-2683 v4),64,32,2,16,2,1310.0,1360,Intel Xeon E5-2683 v4
Inspur Corporation,Inspur SA5248M4 (Intel Xeon E5-2683 v4),64,32,2,16,2,1310.0,1360,Intel Xeon E5-2683 v4
Inspur Corporation,Inspur SA5248M4 (Intel Xeon E5-2680 v4),56,28,2,14,2,1220.0,1270,Intel Xeon E5-2680 v4
Inspur Corporation,Inspur NX5480M4 (Intel Xeon E5-2680 v4),56,28,2,14,2,1220.0,1270,Intel Xeon E5-2680 v4
Lenovo Group Limited,"Lenovo System x3650 M5 (2.10 GHz, Intel Xeon E5-2683 v4)",64,32,2,16,2,1310.0,1370,Intel Xeon E5-2683 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.20 GHz, Intel Xeon E5-2630 v4)",40,20,2,10,2,814.0,851,Intel Xeon E5-2630 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.20 GHz, Intel Xeon E5-2698 v4)",80,40,2,20,2,1560.0,1610,Intel Xeon E5-2698 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.40 GHz, Intel Xeon E5-2640 v4)",40,20,2,10,2,864.0,902,Intel Xeon E5-2640 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.60 GHz, Intel Xeon E5-2623 v4)",16,8,2,4,2,380.0,400,Intel Xeon E5-2623 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (1.70 GHz, Intel Xeon E5-2609 v4)",16,16,2,8,1,416.0,435,Intel Xeon E5-2609 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (1.70 GHz, Intel Xeon E5-2603 v4)",12,12,2,6,1,313.0,328,Intel Xeon E5-2603 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.60 GHz, Intel Xeon E5-2690 v4)",56,28,2,14,2,1300.0,1360,Intel Xeon E5-2690 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.40 GHz, Intel Xeon E5-2680 v4)",56,28,2,14,2,1240.0,1290,Intel Xeon E5-2680 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.00 GHz, Intel Xeon E5-2660 v4)",56,28,2,14,2,1100.0,1150,Intel Xeon E5-2660 v4
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.20 GHz, Intel Xeon E5-2650 v4)",48,24,2,12,2,988.0,1030,Intel Xeon E5-2650 v4
Lenovo Group Limited,"Lenovo System x3550 M5 (2.20 GHz, Intel Xeon E5-2699R v4)",88,44,2,22,2,1750.0,1810,Intel Xeon E5-2699R v4
Lenovo Group Limited,"Lenovo NeXtScale nx360 M5 (2.20 GHz, Intel Xeon E5-2699R v4)",88,44,2,22,2,1750.0,1810,Intel Xeon E5-2699R v4
Lenovo Group Limited,"Lenovo ThinkServer RD550 (2.20 GHz, Intel Xeon E5-2699R v4)",88,44,2,22,2,1720.0,1790,Intel Xeon E5-2699R v4
Lenovo Group Limited,"Lenovo ThinkServer RD650 (2.20 GHz, Intel Xeon E5-2699R v4)",88,44,2,22,2,1730.0,1790,Intel Xeon E5-2699R v4
Lenovo Group Limited,"Lenovo Flex System x240 M5 (2.20 GHz, Intel Xeon E5-2699R v4)",88,44,2,22,2,1740.0,1800,Intel Xeon E5-2699R v4
Lenovo Group Limited,"Lenovo System x3650 M5 (2.20 GHz, Intel Xeon E5-2699R v4)",88,44,2,22,2,1760.0,1820,Intel Xeon E5-2699R v4
Lenovo Group Limited,"Lenovo ThinkServer RD550 (2.30 GHz, Intel Xeon E5-2697 v4)",72,36,2,18,2,1500.0,1550,Intel Xeon E5-2697 v4
Lenovo Group Limited,"Lenovo System x3850 X6 (Intel Xeon E7-8880 v4, 2.20 GHz)",176,88,4,22,2,3300.0,3430,Intel Xeon E7-8880 v4
Lenovo Group Limited,"Lenovo ThinkServer TS460 (3.70 GHz, Intel Xeon E3-1280 v5)",8,4,1,4,2,246.0,252,Intel Xeon E3-1280 v5
