Company,System,Parallel,BaseThreads,EnabledCores,EnabledChips,ThreadsPerCore,Base,Peak,BaseEnergy,PeakEnergy,CPU,SCPU,CPU0
Dell Inc.,"PowerEdge R940 (Intel Xeon Platinum 8160, 2.10 GHz)",Yes,96,96,4,1,9.03,9.30,--,--,"Intel Xeon Platinum 8160, 2.10 GHz","Intel Xeon Platinum 8160, 2.10 GHz",Intel Xeon Platinum 8160
Dell Inc.,"PowerEdge R940 (Intel Xeon Platinum 8164, 2.00 GHz)",Yes,104,104,4,1,9.09,9.34,--,--,"Intel Xeon Platinum 8164, 2.00 GHz","Intel Xeon Platinum 8164, 2.00 GHz",Intel Xeon Platinum 8164
Dell Inc.,"PowerEdge R940 (Intel Xeon Platinum 8168, 2.70 GHz)",Yes,96,96,4,1,9.0,9.32,--,--,"Intel Xeon Platinum 8168, 2.70 GHz","Intel Xeon Platinum 8168, 2.70 GHz",Intel Xeon Platinum 8168
Dell Inc.,"PowerEdge R940 (Intel Xeon Platinum 8170, 2.10 GHz)",Yes,104,104,4,1,9.09,9.34,--,--,"Intel Xeon Platinum 8170, 2.10 GHz","Intel Xeon Platinum 8170, 2.10 GHz",Intel Xeon Platinum 8170
Dell Inc.,"PowerEdge R940 (Intel Xeon Platinum 8176, 2.10 GHz)",Yes,112,112,4,1,9.32,9.62,--,--,"Intel Xeon Platinum 8176, 2.10 GHz","Intel Xeon Platinum 8176, 2.10 GHz",Intel Xeon Platinum 8176
HPE,"ProLiant DL380 Gen10 (2.10 GHz, Intel Xeon Platinum 8170)",Yes,52,52,2,1,8.96,Not Run,--,--,"2.10 GHz, Intel Xeon Platinum 8170",Intel Xeon Platinum 8170,Intel Xeon Platinum 8170
HPE,"ProLiant DL380 Gen10 (2.10 GHz, Intel Xeon Platinum 8176)",Yes,56,56,2,1,9.16,Not Run,--,--,"2.10 GHz, Intel Xeon Platinum 8176",Intel Xeon Platinum 8176,Intel Xeon Platinum 8176
HPE,"ProLiant DL380 Gen10 (3.00 GHz, Intel Xeon Gold 6154)",Yes,36,36,2,1,8.83,Not Run,--,--,"3.00 GHz, Intel Xeon Gold 6154",Intel Xeon Gold 6154,Intel Xeon Gold 6154
HPE,"ProLiant DL360 Gen10 (2.70 GHz, Intel Xeon Gold 6150)",Yes,36,36,2,1,8.8,Not Run,--,--,"2.70 GHz, Intel Xeon Gold 6150",Intel Xeon Gold 6150,Intel Xeon Gold 6150
HPE,"ProLiant DL380 Gen10 (2.50 GHz, Intel Xeon Platinum 8180)",Yes,56,56,2,1,9.2,Not Run,--,--,"2.50 GHz, Intel Xeon Platinum 8180",Intel Xeon Platinum 8180,Intel Xeon Platinum 8180
HPE,"ProLiant DL380 Gen10 (2.10 GHz, Intel Xeon Gold 6130)",Yes,32,32,2,1,8.75,Not Run,--,--,"2.10 GHz, Intel Xeon Gold 6130",Intel Xeon Gold 6130,Intel Xeon Gold 6130
HPE,"ProLiant DL360 Gen10 (2.50 GHz, Intel Xeon Platinum 8180M)",Yes,56,56,2,1,9.23,Not Run,--,--,"2.50 GHz, Intel Xeon Platinum 8180M",Intel Xeon Platinum 8180M,Intel Xeon Platinum 8180M
HPE,"ProLiant DL360 Gen10 (2.60 GHz, Intel Xeon Gold 6126)",Yes,24,24,2,1,8.63,Not Run,--,--,"2.60 GHz, Intel Xeon Gold 6126",Intel Xeon Gold 6126,Intel Xeon Gold 6126
HPE,"ProLiant DL360 Gen10 (2.40 GHz, Intel Xeon Gold 6148)",Yes,40,40,2,1,8.87,Not Run,--,--,"2.40 GHz, Intel Xeon Gold 6148",Intel Xeon Gold 6148,Intel Xeon Gold 6148
HPE,"ProLiant DL360 Gen10 (3.00 GHz, Intel Xeon Gold 6136)",Yes,24,24,2,1,8.8,Not Run,--,--,"3.00 GHz, Intel Xeon Gold 6136",Intel Xeon Gold 6136,Intel Xeon Gold 6136
HPE,"ProLiant DL380 Gen10 (2.00 GHz, Intel Xeon Platinum 8153)",Yes,32,32,2,1,6.9,Not Run,--,--,"2.00 GHz, Intel Xeon Platinum 8153",Intel Xeon Platinum 8153,Intel Xeon Platinum 8153
HPE,"ProLiant DL380 Gen10 (2.10 GHz, Intel Xeon Silver 4116)",Yes,24,24,2,1,7.07,Not Run,--,--,"2.10 GHz, Intel Xeon Silver 4116",Intel Xeon Silver 4116,Intel Xeon Silver 4116
HPE,"ProLiant DL380 Gen10 (2.10 GHz, Intel Xeon Platinum 8160)",Yes,48,48,2,1,8.9,9.21,--,--,"2.10 GHz, Intel Xeon Platinum 8160",Intel Xeon Platinum 8160,Intel Xeon Platinum 8160
HPE,"ProLiant DL380 Gen10 (3.00 GHz, Intel Xeon Platinum 8158)",Yes,24,24,2,1,8.78,Not Run,--,--,"3.00 GHz, Intel Xeon Platinum 8158",Intel Xeon Platinum 8158,Intel Xeon Platinum 8158
HPE,"ProLiant DL380 Gen10 (2.70 GHz, Intel Xeon Platinum 8168)",Yes,48,48,2,1,8.92,9.24,--,--,"2.70 GHz, Intel Xeon Platinum 8168",Intel Xeon Platinum 8168,Intel Xeon Platinum 8168
HPE,"ProLiant DL380 Gen10 (3.60 GHz, Intel Xeon Platinum 8156)",Yes,8,8,2,1,8.17,Not Run,--,--,"3.60 GHz, Intel Xeon Platinum 8156",Intel Xeon Platinum 8156,Intel Xeon Platinum 8156
HPE,"ProLiant DL380 Gen10 (2.00 GHz, Intel Xeon Platinum 8164)",Yes,52,52,2,1,8.95,9.26,--,--,"2.00 GHz, Intel Xeon Platinum 8164",Intel Xeon Platinum 8164,Intel Xeon Platinum 8164
