Company,System,BaseCopies,EnabledCores,EnabledChips,ThreadsPerCore,Base,Peak,BaseEnergy,PeakEnergy,CPU,SCPU,CPU0
Dell Inc.,"PowerEdge R940 (Intel Xeon Platinum 8158, 3.00 GHz)",96,48,4,2,306.0,318,--,--,"Intel Xeon Platinum 8158, 3.00 GHz","Intel Xeon Platinum 8158, 3.00 GHz",Intel Xeon Platinum 8158
Dell Inc.,"PowerEdge R940 (Intel Xeon Platinum 8160, 2.10 GHz)",192,96,4,2,453.0,480,--,--,"Intel Xeon Platinum 8160, 2.10 GHz","Intel Xeon Platinum 8160, 2.10 GHz",Intel Xeon Platinum 8160
Dell Inc.,"PowerEdge R940 (Intel Xeon Platinum 8153, 2.00 GHz)",128,64,4,2,281.0,295,--,--,"Intel Xeon Platinum 8153, 2.00 GHz","Intel Xeon Platinum 8153, 2.00 GHz",Intel Xeon Platinum 8153
Dell Inc.,"PowerEdge R940 (Intel Xeon Platinum 8168, 2.70 GHz)",192,96,4,2,509.0,542,--,--,"Intel Xeon Platinum 8168, 2.70 GHz","Intel Xeon Platinum 8168, 2.70 GHz",Intel Xeon Platinum 8168
Dell Inc.,"PowerEdge R940 (Intel Xeon Platinum 8170, 2.10 GHz)",208,104,4,2,481.0,514,--,--,"Intel Xeon Platinum 8170, 2.10 GHz","Intel Xeon Platinum 8170, 2.10 GHz",Intel Xeon Platinum 8170
Dell Inc.,"PowerEdge R940 (Intel Xeon Platinum 8176, 2.10 GHz)",224,112,4,2,506.0,543,--,--,"Intel Xeon Platinum 8176, 2.10 GHz","Intel Xeon Platinum 8176, 2.10 GHz",Intel Xeon Platinum 8176
Fujitsu,"PRIMEQUEST 3800B, (Intel Xeon Platinum 8180, 2.50GHz)",447,224,8,2,1180.0,Not Run,--,--,"Intel Xeon Platinum 8180, 2.50GHz","Intel Xeon Platinum 8180, 2.50GHz",Intel Xeon Platinum 8180
Fujitsu,"PRIMERGY RX2540 M4, (Intel Xeon Platinum 8180, 2.50GHz)",112,56,2,2,297.0,Not Run,--,--,"Intel Xeon Platinum 8180, 2.50GHz","Intel Xeon Platinum 8180, 2.50GHz",Intel Xeon Platinum 8180
Fujitsu,"PRIMERGY RX2540 M4, (Intel Xeon Gold 6148, 2.40GHz)",80,40,2,2,210.0,Not Run,--,--,"Intel Xeon Gold 6148, 2.40GHz","Intel Xeon Gold 6148, 2.40GHz",Intel Xeon Gold 6148
Fujitsu,"PRIMERGY TX1330 M3, (Intel Xeon E3-1225 v6, 3.3 GHz)",4,4,1,1,21.7,Not Run,--,--,"Intel Xeon E3-1225 v6, 3.3 GHz","Intel Xeon E3-1225 v6, 3.3 GHz",Intel Xeon E3-1225 v6
